HD-Search Credit Financial Model,,,,,,,,
,,,,,,,,
"Core rate: 100 credits = $1 USD.  1 credit = $0.01",,,,,,,,
"Credits are deducted centrally via hackerdogs-core /unitconsumptiontrackerui",,,,,,,,
,,,,,,,,
===== SEARCH PROVIDERS (per query) =====,,,,,,,,
Provider,Type,Access,Retail Price,Unit,Cost to HD ($),Credits Charged,Margin ($),Margin %
openserp,search,self-hosted,$0.00,/query,$0.0010,1,$0.0090,90%
searxng,search,self-hosted,$0.00,/query,$0.0010,1,$0.0090,90%
duckduckgo,search,free,$0.00,/query,$0.0000,1,$0.0100,100%
wikipedia,search,free,$0.00,/query,$0.0000,1,$0.0100,100%
gdelt,search,free,$0.00,/query,$0.0000,1,$0.0100,100%
maps (photon/nominatim),search,self-hosted,$0.00,/query,$0.0010,1,$0.0090,90%
wayback,search,free,$0.00,/query,$0.0000,1,$0.0100,100%
commoncrawl,search,free,$0.00,/query,$0.0010,1,$0.0090,90%
serper,search,commercial,$1.00,/1K queries,$0.0010,2,$0.0190,95%
brave,search,commercial,$5.00,/1K queries,$0.0050,3,$0.0250,83%
tavily,search,commercial,$6.67,/1K queries,$0.0067,3,$0.0233,78%
exa,search,commercial,$7.00,/1K queries,$0.0070,3,$0.0230,77%
kagi,search,commercial,$12.00,/1K queries,$0.0120,4,$0.0280,77%
google_cse,search,commercial,$5.00,/1K queries,$0.0050,3,$0.0250,83%
serpapi,search,commercial,$10.00,/1K queries,$0.0100,5,$0.0400,80%
,,,,,,,,
===== DARKWEB PROVIDERS (per query) =====,,,,,,,,
Provider,Type,Access,Retail Price,Unit,Cost to HD ($),Credits Charged,Margin ($),Margin %
ahmia,darkweb,free,$0.00,/query,$0.0000,2,$0.0200,100%
torch,darkweb,free,$0.00,/query,$0.0000,2,$0.0200,100%
intelx,darkweb,commercial,"~$2,500.00",/year (est),$0.0200,10,$0.0800,80%
,,,,,,,,
===== CRAWL PROVIDERS (per page) =====,,,,,,,,
Provider,Type,Access,Retail Price,Unit,Cost to HD ($),Credits Charged,Margin ($),Margin %
basic (HTTP fetch),crawl,free,$0.00,/page,$0.0001,1,$0.0099,99%
crawl4ai,crawl,self-hosted,$0.00,/page,$0.0050,2,$0.0150,75%
browserless,crawl,self-hosted,$0.00,/page,$0.0030,2,$0.0170,85%
jina,crawl,freemium,$1.00,/1K pages,$0.0010,2,$0.0190,95%
firecrawl,crawl,commercial,$0.83,/1K pages,$0.0008,2,$0.0192,96%
,,,,,,,,
===== VECTOR OPERATIONS =====,,,,,,,,
Operation,Type,Access,Retail Price,Unit,Cost to HD ($),Credits Charged,Margin ($),Margin %
vector_index,vector,self-hosted,$0.00,/document,$0.0100,5,$0.0400,80%
vector_search,vector,self-hosted,$0.00,/query,$0.0050,3,$0.0250,83%
,,,,,,,,
===== AI MODE (per message turn) =====,,,,,,,,
Provider / Model,Type,Access,Input $/M tokens,Output $/M tokens,Typical Turn Cost ($),Credits (formula),Notes,
claude-opus-4-8,ai,commercial,$5.00,$25.00,$0.0175,9,"ceil(cost / (1-margin) * 100), margin=80%",
claude-sonnet-4-6,ai,commercial,$3.00,$15.00,$0.0105,6,Same formula,
claude-haiku-4-5,ai,commercial,$1.00,$5.00,$0.0035,2,Same formula,
ollama (local models),ai,self-hosted,$0.00,$0.00,$0.0010,1,Minimum 1 credit (infra),
,,,,,,,,
"AI typical turn: ~1000 input tokens, ~500 output tokens",,,,,,,,
"AI credit formula: ceil(providerCostUsd / (1 - 0.80) * 100) = ceil(cost * 500)",,,,,,,,
"Dynamic per-turn metering, not flat rate",,,,,,,,
,,,,,,,,
===== AGGREGATE MODE BILLING =====,,,,,,,,
"When a query fans out to N providers (aggregate mode):",,,,,,,,
"  Credit charge = SUM of credits for all providers that returned results",,,,,,,,
"  e.g. searxng(1) + openserp(1) + duckduckgo(1) = 3 credits",,,,,,,,
"When fallback mode (default):",,,,,,,,
"  Credit charge = credits for the ONE provider that returned results",,,,,,,,
,,,,,,,,
===== PLAN CREDIT BUDGETS =====,,,,,,,,
Plan,Credits/mo,Price/mo,$/credit (user pays),Est. free searches,Est. commercial searches,Est. AI turns (Sonnet),Notes,
Free (Chihuahua),350,$0.00,$0.0000,350,117,58,Free plan credits are granted monthly,
Dev (Bulldog),"4,500",$30.00,$0.0067,"4,500","1,500",750,,
DevTest (German Shepherd),"450,000","$3,000.00",$0.0067,"450,000","150,000","75,000",,
Production (Doberman),"1,500,000","$10,000.00",$0.0067,"1,500,000","500,000","250,000",,
Enterprise (Alpha Pack),Custom,Custom,Custom,Custom,Custom,Custom,,
,,,,,,,,
===== EXAMPLE SCENARIOS =====,,,,,,,,
Scenario,Operation,Provider(s),Credits,Running Total,Budget (Dev),Remaining,
User searches "cybersecurity news" on Web tab,search (fallback),searxng,1,1,"4,500","4,499"
Same query on News tab,search (fallback),searxng,1,2,"4,500","4,498"
Same query on Images tab,search (fallback),searxng,1,3,"4,500","4,497"
Aggregate mode web search,search (aggregate),"searxng+openserp+duckduckgo",3,6,"4,500","4,494"
Commercial search with Brave,search (fallback),brave,3,9,"4,500","4,491"
Crawl a page via Crawl4AI,crawl,crawl4ai,2,11,"4,500","4,489"
AI Search question (Sonnet),ai,claude-sonnet-4-6,6,17,"4,500","4,483"
AI Search question (Haiku),ai,claude-haiku-4-5,2,19,"4,500","4,481"
Vector index a document,vector,vector_index,5,24,"4,500","4,476"
Vector similarity search,vector,vector_search,3,27,"4,500","4,473"
Darkweb search via Ahmia,darkweb,ahmia,2,29,"4,500","4,471"
Commercial darkweb (IntelX),darkweb,intelx,10,39,"4,500","4,461"
,,,,,,,,
===== PRICING SOURCES =====,,,,,,,,
Provider,Source,Date Checked,URL,,,,,
SerpAPI,serpapi.com/pricing,Jun 2026,https://serpapi.com/pricing,,,,,
Serper,serper.dev,Jun 2026,https://serper.dev/,,,,,
Brave Search,brave.com/search/api,Jun 2026,https://api-dashboard.search.brave.com/documentation/pricing,,,,,
Tavily,tavily.com/pricing,Jun 2026,https://www.tavily.com/pricing,,,,,
Exa,exa.ai/pricing,Jun 2026,https://exa.ai/pricing,,,,,
Kagi,kagi.com/api/pricing,Jun 2026,https://kagi.com/api/pricing,,,,,
Google CSE,developers.google.com,Jun 2026,https://developers.google.com/custom-search/v1/overview,,,,,
Firecrawl,firecrawl.dev/pricing,Jun 2026,https://www.firecrawl.dev/pricing,,,,,
Jina Reader,jina.ai/reader,Jun 2026,https://jina.ai/reader/,,,,,
IntelX,intelx.io/product,Jun 2026,https://intelx.io/product,,,,,
Anthropic Claude,platform.claude.com/docs,Jun 2026,https://platform.claude.com/docs/en/about-claude/pricing,,,,,
